"year","city","temp"
1926,"Moscow","15.596000000000002"
1927,"Baghdad","34.447"
1927,"Calcutta","29.531000000000002"
1927,"Delhi","31.57133333333333"
1927,"Mashhad","24.322666666666663"
1927,"Moscow","17.739"
1928,"Baghdad","33.827666666666666"
1928,"Calcutta","29.069"
1928,"Delhi","32.080333333333336"
1928,"Mashhad","22.68433333333333"
1928,"Moscow","14.426000000000002"
1929,"Baghdad","33.57033333333333"
1929,"Calcutta","29.244333333333334"
1929,"Delhi","31.389666666666667"
1929,"Mashhad","22.308999999999997"
1929,"Moscow","16.74"
1930,"Baghdad","34.15566666666667"
1930,"Calcutta","29.280666666666665"
1930,"Delhi","31.045333333333335"
1930,"Mashhad","23.365"
1930,"Moscow","16.225333333333335"
1931,"Baghdad","34.275333333333336"
1931,"Calcutta","29.858999999999998"
1931,"Delhi","32.574999999999996"
1931,"Mashhad","23.356666666666666"
1931,"Moscow","17.072"
1932,"Baghdad","34.027"
1932,"Calcutta","29.367"
1932,"Delhi","32.521"
1932,"Mashhad","22.591333333333335"
1932,"Moscow","18.017"
1933,"Baghdad","33.05466666666667"
1933,"Calcutta","28.94033333333333"
1933,"Delhi","30.93166666666667"
1933,"Mashhad","23.67833333333333"
1933,"Moscow","16.151"
1934,"Baghdad","33.665333333333336"
1934,"Calcutta","29.271"
1934,"Delhi","31.13066666666667"
1934,"Mashhad","23.600666666666665"
1934,"Moscow","16.47266666666667"
1935,"Baghdad","34.274"
1935,"Calcutta","29.570000000000004"
1935,"Delhi","31.84"
1935,"Mashhad","23.310999999999996"
1935,"Moscow","16.076000000000004"
1936,"Baghdad","33.99733333333333"
1936,"Calcutta","29.031000000000002"
1936,"Delhi","30.438666666666666"
1936,"Mashhad","23.61766666666667"
1936,"Moscow","19.38633333333333"
1937,"Baghdad","33.928333333333335"
1937,"Calcutta","29.30933333333333"
1937,"Delhi","31.968333333333334"
1937,"Mashhad","24.257666666666665"
1937,"Moscow","17.448666666666668"
1938,"Baghdad","34.464000000000006"
1938,"Calcutta","29.031333333333333"
1938,"Delhi","31.402333333333335"
1938,"Mashhad","22.927999999999997"
1938,"Moscow","19.564666666666664"
1939,"Baghdad","33.06933333333333"
1939,"Calcutta","29.16633333333333"
1939,"Delhi","31.738"
1939,"Mashhad","24.08366666666667"
1939,"Moscow","18.411666666666665"
1940,"Baghdad","34.178666666666665"
1940,"Calcutta","29.415333333333333"
1940,"Delhi","31.790000000000003"
1940,"Mashhad","24.116666666666664"
1940,"Moscow","17.234333333333336"
1941,"Baghdad","33.816"
1941,"Calcutta","29.43466666666667"
1941,"Delhi","32.266333333333336"
1941,"Mashhad","24.24466666666667"
1941,"Moscow","16.43433333333333"
1942,"Baghdad","34.37833333333333"
1942,"Calcutta","29.712999999999997"
1942,"Delhi","31.409666666666666"
1942,"Mashhad","23.543666666666667"
1942,"Moscow","15.9"
1943,"Baghdad","33.58866666666667"
1943,"Calcutta","29.04733333333333"
1943,"Delhi","31.057666666666666"
1943,"Mashhad","23.31533333333333"
1943,"Moscow","16.567666666666668"
1944,"Baghdad","33.667"
1944,"Calcutta","29.519000000000002"
1944,"Delhi","31.29066666666667"
1944,"Mashhad","24.480333333333334"
1944,"Moscow","16.19633333333333"
1945,"Baghdad","33.51166666666666"
1945,"Calcutta","29.65533333333333"
1945,"Delhi","31.962666666666667"
1945,"Mashhad","23.884666666666664"
1945,"Moscow","16.706999999999997"
1946,"Baghdad","33.540666666666674"
1946,"Calcutta","29.226333333333333"
1946,"Delhi","31.430666666666667"
1946,"Mashhad","22.881"
1946,"Moscow","18.603666666666665"
1947,"Baghdad","34.153333333333336"
1947,"Calcutta","29.567333333333334"
1947,"Delhi","32.779666666666664"
1947,"Mashhad","23.586"
1947,"Moscow","17.045666666666666"
1948,"Baghdad","33.971666666666664"
1948,"Calcutta","29.454333333333334"
1948,"Delhi","32.04566666666667"
1948,"Mashhad","24.207000000000004"
1948,"Moscow","17.47566666666667"
1949,"Baghdad","33.572"
1949,"Calcutta","29.383333333333336"
1949,"Delhi","31.828"
1949,"Mashhad","23.671666666666667"
1949,"Moscow","16.431"
1950,"Baghdad","32.48466666666667"
1950,"Calcutta","29.090666666666667"
1950,"Delhi","31.557000000000006"
1950,"Mashhad","23.21366666666667"
1950,"Moscow","14.782000000000002"
1951,"Baghdad","34.529666666666664"
1951,"Calcutta","29.634666666666664"
1951,"Delhi","32.40133333333333"
1951,"Mashhad","22.774333333333335"
1951,"Moscow","17.297"
1952,"Baghdad","33.821333333333335"
1952,"Calcutta","29.417333333333332"
1952,"Delhi","31.232333333333333"
1952,"Mashhad","23.102"
1952,"Moscow","16.656000000000002"
1953,"Baghdad","33.74466666666667"
1953,"Calcutta","29.272000000000002"
1953,"Delhi","31.926333333333332"
1953,"Mashhad","23.531333333333333"
1953,"Moscow","17.936333333333334"
1954,"Baghdad","34.662333333333336"
1954,"Calcutta","29.174000000000003"
1954,"Delhi","32.542"
1954,"Mashhad","22.573666666666668"
1954,"Moscow","18.69066666666667"
1955,"Baghdad","34.011"
1955,"Calcutta","29.195000000000004"
1955,"Delhi","32.041333333333334"
1955,"Mashhad","24.206333333333333"
1955,"Moscow","16.349666666666668"
1956,"Baghdad","34.099333333333334"
1956,"Calcutta","28.698666666666668"
1956,"Delhi","31.070666666666668"
1956,"Mashhad","23.245"
1956,"Moscow","16.412666666666667"
1957,"Baghdad","33.97"
1957,"Calcutta","29.81866666666667"
1957,"Delhi","31.871"
1957,"Mashhad","22.11633333333334"
1957,"Moscow","16.644333333333336"
1958,"Baghdad","33.91466666666667"
1958,"Calcutta","30.149333333333335"
1958,"Delhi","32.106"
1958,"Mashhad","23.557666666666666"
1958,"Moscow","15.694666666666668"
1959,"Baghdad","33.173"
1959,"Calcutta","29.352999999999998"
1959,"Delhi","31.814333333333337"
1959,"Mashhad","23.66633333333333"
1959,"Moscow","17.800333333333338"
1960,"Baghdad","34.248"
1960,"Calcutta","29.554666666666666"
1960,"Delhi","32.054"
1960,"Mashhad","23.658"
1960,"Moscow","18.122666666666664"
1961,"Baghdad","34.788000000000004"
1961,"Calcutta","29.362666666666666"
1961,"Delhi","31.552666666666667"
1961,"Mashhad","23.767666666666667"
1961,"Moscow","17.739"
1962,"Baghdad","35.33466666666667"
1962,"Calcutta","29.511"
1962,"Delhi","32.20166666666667"
1962,"Mashhad","22.688333333333333"
1962,"Moscow","14.508666666666668"
1963,"Baghdad","34.361999999999995"
1963,"Calcutta","29.451333333333334"
1963,"Delhi","31.956666666666667"
1963,"Mashhad","23.697"
1963,"Moscow","16.403666666666666"
1964,"Baghdad","34.14066666666667"
1964,"Calcutta","29.419"
1964,"Delhi","31.384333333333334"
1964,"Mashhad","23.810000000000002"
1964,"Moscow","17.528000000000002"
1965,"Baghdad","34.989666666666665"
1965,"Calcutta","29.391333333333336"
1965,"Delhi","32.156666666666666"
1965,"Mashhad","23.51733333333333"
1965,"Moscow","15.574666666666667"
1966,"Baghdad","34.81766666666667"
1966,"Calcutta","29.62833333333333"
1966,"Delhi","31.715000000000003"
1966,"Mashhad","24.373333333333335"
1966,"Moscow","17.018000000000004"
1967,"Baghdad","33.062333333333335"
1967,"Calcutta","29.634666666666664"
1967,"Delhi","31.541"
1967,"Mashhad","22.871666666666666"
1967,"Moscow","16.874333333333336"
1968,"Baghdad","33.541"
1968,"Calcutta","28.823999999999998"
1968,"Delhi","31.638"
1968,"Mashhad","22.842666666666663"
1968,"Moscow","16.679000000000002"
1969,"Baghdad","33.89766666666667"
1969,"Calcutta","29.426333333333332"
1969,"Delhi","32.159"
1969,"Mashhad","22.612333333333336"
1969,"Moscow","15.767333333333331"
1970,"Baghdad","33.76933333333333"
1970,"Calcutta","29.292333333333332"
1970,"Delhi","31.429666666666666"
1970,"Mashhad","23.785666666666668"
1970,"Moscow","16.773"
1971,"Baghdad","33.445"
1971,"Calcutta","28.352333333333334"
1971,"Delhi","30.257"
1971,"Mashhad","23.540666666666667"
1971,"Moscow","16.564"
1972,"Baghdad","34.07366666666667"
1972,"Calcutta","29.686000000000003"
1972,"Delhi","32.224333333333334"
1972,"Mashhad","21.912666666666667"
1972,"Moscow","19.96766666666667"
1973,"Baghdad","34.126666666666665"
1973,"Calcutta","29.301666666666666"
1973,"Delhi","31.653333333333336"
1973,"Mashhad","24.351333333333333"
1973,"Moscow","16.777"
1974,"Baghdad","33.862"
1974,"Calcutta","29.33566666666667"
1974,"Delhi","31.531000000000002"
1974,"Mashhad","23.029666666666667"
1974,"Moscow","16.395333333333333"
1975,"Baghdad","34.541000000000004"
1975,"Calcutta","29.23766666666667"
1975,"Delhi","30.914"
1975,"Mashhad","24.375333333333334"
1975,"Moscow","16.700333333333333"
1976,"Baghdad","33.568333333333335"
1976,"Calcutta","29.179999999999996"
1976,"Delhi","30.821"
1976,"Mashhad","23.958333333333332"
1976,"Moscow","14.454666666666668"
1977,"Baghdad","34.58233333333334"
1977,"Calcutta","29.096999999999998"
1977,"Delhi","30.704333333333334"
1977,"Mashhad","24.833"
1977,"Moscow","16.568"
1978,"Baghdad","33.699666666666666"
1978,"Calcutta","29.325333333333333"
1978,"Delhi","30.893666666666665"
1978,"Mashhad","23.214333333333332"
1978,"Moscow","15.079"
1979,"Baghdad","34.79066666666666"
1979,"Calcutta","30.03"
1979,"Delhi","32.27266666666667"
1979,"Mashhad","23.644666666666666"
1979,"Moscow","16.451"
1980,"Baghdad","35.03366666666667"
1980,"Calcutta","29.44633333333333"
1980,"Delhi","31.534000000000002"
1980,"Mashhad","24.144333333333332"
1980,"Moscow","16.273"
1981,"Baghdad","34.09366666666667"
1981,"Calcutta","29.457333333333334"
1981,"Delhi","32.12733333333333"
1981,"Mashhad","23.562"
1981,"Moscow","18.808333333333334"
